8 | peruna
9 | riisi
10 | pasta
11 | kala
12 | kana
13 | punainen liha
14 | muna
15 | maito
17 | herne
18 | maissi
19 | paprika
20 | suola
21 | mustapippuri
22 | valkopippuri
23 | sokeri
24 | vanilja
25 | kaneli
26 | curry
38 | maksa
39 | voi
40 | sipuli
41 | sitruuna
42 | vehnäjauho
43 | leivinjauhe
